text,sentiment,Time of Tweet,Age of User,Country
 what`s the matter chickadee?,neutral,night,31-45,North Macedonia
 hey mia!  totally adore your music.  when will your cd be out?,positive,morning,46-60,Norway
"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless",positive,noon,60-70,Oman
 =O you need to ask him something? Lmao I love him too,positive,night,70-100,Pakistan
 those splinters look very painful...but you were being very heroic saving mr. Pickle,negative,morning,0-20,Palau
 why are you sad?,negative,noon,21-30,Palestine State
 Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,positive,night,31-45,Panama
decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,positive,morning,46-60,Papua New Guinea
 Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !,neutral,noon,60-70,Paraguay
" Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.",neutral,night,70-100,Peru
Humous and Dorito`s.... Oh yes,neutral,morning,0-20,Philippines
"missed all the awesome weather, because she was in a movie!",negative,noon,21-30,Poland
Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,neutral,night,31-45,Portugal
"These kids are terrible! If I was in Good Evans, I`d call Childline",negative,morning,46-60,Qatar
"Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!",negative,noon,60-70,Romania
" What`s sad is that I actually had to google that term. That sucks, tho.",negative,night,70-100,Russia
Hate fighting,negative,morning,0-20,Rwanda
" I watched that too!!! I didnt want her to win, but she put up a good fight..lol",neutral,noon,21-30,Saint Kitts and Nevis
Car-warmed Sprite tastes like sore throat,negative,night,31-45,Saint Lucia
Just came 11th in cross country and beat dumbo,neutral,morning,46-60,Saint Vincent and the Grenadines
Candle wax is very enjoyable.,positive,noon,60-70,Samoa
" She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her",positive,night,70-100,San Marino
tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,neutral,morning,0-20,Sao Tome and Principe
goooooddd morning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?,positive,noon,21-30,Saudi Arabia
 me too. I hate my computer so much..,negative,night,31-45,Senegal
 fine! Going to do my big walk today 20 or so miles,positive,morning,46-60,Serbia
I WANT RED CRUISERS!!  i don`t like the other ones. LMFAO!,negative,noon,60-70,Seychelles
Mmmmmmmm... ? it in the morning,neutral,night,70-100,Sierra Leone
 me neither,neutral,morning,0-20,Singapore
"Has about 10 hours work to do, on a Sunday. Boo. I will find time for a two hour lunchbreak though. Yeah",neutral,noon,21-30,Slovakia
Bugger. forgot I still have washing in my machine,negative,night,31-45,Slovenia
"_Laurie sending love, blessings & healing thoughts to you & family  peace",positive,morning,46-60,Solomon Islands
My back hurts...really bad,negative,noon,60-70,Somalia
" ah yes, I know that feeling",neutral,night,70-100,South Africa
Night of the cookers with my dad,neutral,morning,0-20,South Korea
My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutal,negative,noon,21-30,South Sudan
 Nope I am in Coquitlam,neutral,night,31-45,Spain
 Had parent teacher thing yesterday!! So boring going to skl on saturday!!  lol,negative,morning,46-60,Sri Lanka
  #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!,positive,noon,60-70,Sudan
Big booming thunder storm almost here.  Maybe we can all go home early???  Ah... probably not.,neutral,night,70-100,Suriname
Few Bevvies 2day in twn..great on a day off!!,positive,morning,0-20,Sweden
first night in myers. just not the same w/out lydia!  but i`m actually excited about this summer!,positive,noon,21-30,Switzerland
 good morning,positive,night,31-45,Syria
 its the best show EVER!,positive,morning,46-60,Tajikistan
URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES,negative,noon,60-70,Tanzania
i think iv hurt my tooth  and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha :L .,neutral,night,70-100,Thailand
 I want to know when the auditions are Mander! Text or...reply please!,neutral,morning,0-20,Timor-Leste
or even NOOOOO NOT THE SECRET NAMEREBECCA PLEASE,negative,noon,21-30,Togo
 I miss my neice  can`t wait to see her bad n grown ****! Lol,negative,night,31-45,Tonga
i need to get my computer fixed,neutral,morning,46-60,Trinidad and Tobago
really hopes her car`s illness is not terminal...,negative,noon,60-70,Tunisia
"All the cool people I want to find for following today are #English, and I guess the English don`t tweet.",neutral,night,70-100,Turkey
 no sir...i woulda put honey...but i don`t have any,neutral,morning,0-20,Turkmenistan
who watched X-men origins: wolverine? i totally loved it! haha,positive,noon,21-30,Tuvalu
 I VOTED!!! do u have a personal myspace? i keep talking to fakes   i <3 you. u helped me thru the hrdest time of my life! (: x,positive,night,31-45,Uganda
 I`m sad that I missed you guys last night!,negative,morning,46-60,Ukraine
Finally got a call for marriage counseling 3 days late....,neutral,noon,60-70,United Arab Emirates
 ok then,neutral,night,70-100,United Kingdom
_420 why baby?,neutral,morning,0-20,United States of America
today was the last day of high school for me and i ended up going home sick! ... stupid dead rats,negative,noon,21-30,Uruguay
We`re having an impromptu pool party... Except I don`t know how to swim so I can`t get in,neutral,night,31-45,Uzbekistan
lost my tooth 2day whilst i was eating gum...oww,negative,morning,46-60,Vanuatu
happy 1 year! <3,positive,noon,60-70,Venezuela
"Oh, I HELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol",positive,night,70-100,Vietnam
 *phew*  Will make a note in case anyone else runs into the same issueÃ¯Â¿Â½,neutral,morning,0-20,Yemen
  WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,negative,noon,21-30,Zambia
I`m starving!! This diet is killing me but I can`t eat after 8pm,negative,night,31-45,Zimbabwe
 i talk to you,neutral,morning,46-60,Afghanistan
im soo bored...im deffo missing my music channels,negative,noon,60-70,Albania
 nite nite bday girl  have fun at concert,positive,night,70-100,Algeria
"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",neutral,morning,0-20,Andorra
_Sanderson What`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!,neutral,noon,21-30,Angola
should be sleeping.  lost my voice a couple day ago.,negative,night,31-45,Antigua and Barbuda
http://twitpic.com/66xlm -  hate when my PARKED car gets hit,negative,morning,46-60,Argentina
 I`ve heard this fall. I`m waiting too!,neutral,noon,60-70,Armenia
 more nightmares?  *huggles*,neutral,night,70-100,Australia
I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy.,negative,morning,0-20,Austria
going to bed its late and I have headache,negative,noon,21-30,Azerbaijan
happy mother`s day to all moms out there...,positive,night,31-45,Bahamas
Grabbing coffee from  then making mom breakfast,neutral,morning,46-60,Bahrain
im thinking that im going to have fun tonight....and maybe some changes are coming,positive,noon,60-70,Bangladesh
 thanks. before the major chop.,neutral,night,70-100,Barbados
" Haha I know, I cant handle the fame!  and thank you!",positive,morning,0-20,Belarus
just got up and updated my ipod,neutral,noon,21-30,Belgium
 yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,positive,night,31-45,Belize
 We never miss ICarly - my son has a huge crush on Miranda,positive,morning,46-60,Benin
Saw James carville in the store today. His head is really that bald,neutral,noon,60-70,Bhutan
yellow for   ? http://blip.fm/~5z05g,neutral,night,70-100,Bolivia
 which means you`re just going to have to come back to vancouver and have it our way! hahah,neutral,morning,0-20,Bosnia and Herzegovina
Feeling smooth like chrome,positive,noon,21-30,Botswana
Ew traffic,negative,night,31-45,Brazil
"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol",neutral,morning,46-60,Brunei
@_Ra_Ra_ your not alone...i need coffee too.,neutral,noon,60-70,Bulgaria
 Sounds like me,neutral,night,70-100,Burkina Faso
Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,neutral,morning,0-20,Burundi
Walking to class. I hate not having a bike....especially mine.,negative,noon,21-30,Côte d'Ivoire
_nesmith,neutral,night,31-45,Cabo Verde
"failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",negative,morning,46-60,Cambodia
"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,",positive,noon,60-70,Cameroon
happy mother`s day to all the mothers in the world.,positive,night,70-100,Canada
"35mins through the 1hr 20mins Google Wave demo, that looks a lot of fun, would love to test it though.  http://bit.ly/WnMSc",positive,morning,0-20,Central African Republic
Sleepy Tabz is heading to bed.  Fun night! Listened through the next episode of Joss`d!,positive,noon,21-30,Chad
The exception for a short dude: Larenz fineass Tate yum,neutral,night,31-45,Chile
"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",positive,morning,46-60,China
"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit.   Hopefully we will be free soon.",positive,noon,60-70,Colombia
 Yes i work 6 to 3...,neutral,night,70-100,Comoros
" Hmmm, maybe that`s what they meant. They eluded to something brand new but you know how the media is",neutral,morning,0-20,Congo (Congo-Brazzaville)
Done at the spa   now meeting vic for some late lunch!,neutral,noon,21-30,Costa Rica
Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,positive,night,31-45,Croatia
 Always have wanted to go to Oz,neutral,morning,46-60,Cuba
 Thx,neutral,noon,60-70,Cyprus
 http://twitpic.com/4jaz5 - Cool... luv it,positive,night,70-100,Czechia (Czech Republic)
  that`s why I need to be there...To represent the Blackberries,positive,morning,0-20,Democratic Republic of the Congo
Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,neutral,noon,21-30,Denmark
 If only we could ever actually be allowed to stay here and do that,neutral,night,31-45,Djibouti
 Let me know how that turns out!!,neutral,morning,46-60,Dominica
 was that sass I detect?  As long as it isn`t back sass! Haha,neutral,noon,60-70,Dominican Republic
" yeah I was thinking about that ,ahaha",positive,night,70-100,Ecuador
 Sports Bar Shatranjanpoli Rest Ph 26498457 All Sports Bar Andheri W 26733333 Dont know whether that helps. Google ki jai ho,neutral,morning,0-20,Egypt
I`m not sleeping at all until  accepts my appology,negative,noon,21-30,El Salvador
"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??",negative,night,31-45,Equatorial Guinea
" I live for pain, bring it on",neutral,morning,46-60,Eritrea
"okay, i`m out for a while  back later!",neutral,noon,60-70,Estonia
  #powerblog What is this powerblog challenge you keep talking about?  I`m a newbie follower,neutral,night,70-100,"Eswatini (fmr. ""Swaziland"")"
almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,positive,morning,0-20,Ethiopia
Waiting for tish to get off. Got to drive my moms CRV to pick her up all my myself and duckie. First time,neutral,noon,21-30,Fiji
"Trying to decide on a movie with the friends.. not going to well! lol :p  No bible study 2nite, which means ****-day cake  buy my own??",negative,night,31-45,Finland
going to shower because i don`t want to smell at school tomorrow,neutral,morning,46-60,France
 Sigh... you know I am...,neutral,noon,60-70,Gabon
"discovered cause of a bug in the new #NetPLAYER 4 build. Publishing bug fix now, hopefully new beta by tomorrow",positive,night,70-100,Gambia
Here are 4 FREE twitter tools will get you followers  http://short.to/511q http://jijr.com/hulz http://short.to/511r http://2ve.org/xPG0/,neutral,morning,0-20,Georgia
just got home from work.... and is chugging down a big bottle of apple juice.,neutral,noon,21-30,Germany
 Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,negative,night,31-45,Ghana
writing report cards  soooo tired but what an amazing day. check it out on fb soon!,positive,morning,46-60,Greece
 it was only once for my big brother...and I`m done now,neutral,noon,60-70,Grenada
good news: finally finished my #EASactive workout that has been paused for 6 hours. bad news: my resistance band is torn,neutral,night,70-100,Guatemala
"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",positive,morning,0-20,Guinea
FTSK and Mercy Mercedes were amazing tonight.. as always,positive,noon,21-30,Guinea-Bissau
  hope he is ok!,positive,night,31-45,Guyana
can`t school just be done already? it hurts too much... seeing him every day,positive,morning,46-60,Haiti
"I waited, listening to wind blowing through the tumbleweed? Are none of you old enough to know what to do when someone says 'Crackerack'?",neutral,noon,60-70,Holy See
 Hell Yeah!,neutral,night,70-100,Honduras
 HIM shirt at dinner? Do you need to ask??  Does it actually have Ville on it?,neutral,morning,0-20,Hungary
 i know!!,neutral,noon,21-30,Iceland
 huh what the ****? Smelly? Noooo. I love alex Vixon,neutral,night,31-45,India
"Went to a party last night. Dindin and I showed up in matching outfits ) GREAT MINDS THINK ALIKE ) Anyway, happy birthday, ate lara",positive,morning,46-60,Indonesia
" Happy b-day! Just woke up on this side of Earth, so wishes are bit late",positive,noon,60-70,Iran
"thank you for teaching me values and to be a better person each day  I LOVE SO MUCH, YOU`RE THE BEST MUM IN THE WORLD",positive,night,70-100,Iraq
HAPPY MOTHERS DAY.!,positive,morning,0-20,Ireland
" *laughs* I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?",positive,noon,21-30,Israel
  Thanks,positive,night,31-45,Italy
twittering after 2 days!,neutral,morning,46-60,Jamaica
Getting ready for week  Its too nice today to be stuck inside working!,positive,noon,60-70,Japan
I am tres depressed,negative,night,70-100,Jordan
"Felt like ****, behaved like my son; ate to compensate. Pigged out on home-roasted sugar almonds. Painful tum, threw up, still feel sick.",negative,morning,0-20,Kazakhstan
Happy Mothers Day people. i love my mom a lot still,positive,noon,21-30,Kenya
 I`m sorry to hear that.,negative,night,31-45,Kiribati
" That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly.",positive,morning,46-60,Kuwait
" it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",positive,noon,60-70,Kyrgyzstan
Is getting the hang of Twitter.,neutral,night,70-100,Laos
You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,negative,morning,0-20,Latvia
I want it BACK NOW!: http://bit.ly/PP1WZ,neutral,noon,21-30,Lebanon
Going to miss my roomie ... We will no longer be roomies starting tomorrow,negative,night,31-45,Lesotho
"bathing with two little angels, Keyla and Janice.",neutral,morning,46-60,Liberia
" Yep, finished, chocked full of spelling and grammatical errors, but I`m cleaning it up tomorrow and popping it up  hehe",negative,noon,60-70,Libya
 HAHAHHA lol true that! i always remember my BD but i can never remember what date or even day it is,neutral,night,70-100,Liechtenstein
"Family is here,hanging with them",neutral,morning,0-20,Lithuania
Watching Ellen Love her!! then doing the dishes  and tanning ...it`s gorgeous out!,positive,noon,21-30,Luxembourg
 what`s goin on hun?  I`m worried about you,negative,night,31-45,Madagascar
 Im not bannished... but I am at work till 6,negative,morning,46-60,Malawi
" Morning! If I get to see it, I`ll let you know. Right now, I`m going to go see Wolverine.",neutral,noon,60-70,Malaysia
" red top tabloids, build em up, knock em down",neutral,night,70-100,Maldives
tonight in party w/ my girls (minus vita),positive,morning,0-20,Mali
  why not now you made me sad I thought you`d be jumping for joy,neutral,noon,21-30,Malta
 Simple my a#@,neutral,night,31-45,Marshall Islands
"The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now",neutral,morning,46-60,Mauritania
" I saw the play of it here, it was amazing",positive,noon,60-70,Mauritius
 _ i am glad to break my twitter virginity with you two.,positive,night,70-100,Mexico
Dinner with the fam... I have missed them,negative,morning,0-20,Micronesia
"_Live That`s what I want. More the better. Bound to be a few bad eggs though, but they will soon learn.",neutral,noon,21-30,Moldova
Hell yeah Kellynn got a Twitter. Finally.,neutral,night,31-45,Monaco
" I know   It was worth a shot, though!",positive,morning,46-60,Mongolia
"Just opened a facebook account, I`m a little confused I don`t really get it. Twitter seems much better",positive,noon,60-70,Montenegro
Ship. I`m stuck.,negative,night,70-100,Morocco
DUSTBIN BABY ON AT 11.30 Cannot wait  x,positive,morning,0-20,Mozambique
" Not going to dwell on it. It happened, it`s passed. Just a shame as he was so supportive! Such is life!  x",negative,noon,21-30,Myanmar (formerly Burma)
,neutral,night,31-45,Namibia
It looks like the office TV DOES get MLB Network... and it looks like MLBN will NOT be televising the DET/BAL game today  #wieters,neutral,morning,46-60,Nauru
Home empty handed.  No comics found today.  I shall now indulge in my cupcakes from Magnolia Bakery.,neutral,noon,60-70,Nepal
Laying in bed til workkk... Oh the life. Definitely pinched a nerve.,negative,night,70-100,Netherlands
today is a busy day. exhausting!,negative,morning,0-20,New Zealand
" I was going to go on Sunday, but now I`ve got too much going on that weekend",neutral,noon,21-30,Nicaragua
 Sorry to hear ur flight got cancelled  that blows!!!,negative,night,31-45,Niger
